Date,AAPL,MSFT
2022-05-06,154.1848907470703,265.1927185058594
2022-05-09,149.06761169433594,255.39508056640625
2022-05-10,151.46939086914062,260.1442565917969
2022-05-11,143.61697387695312,251.50494384765625
2022-05-12,139.7545623779297,246.4855194091797
2022-05-13,144.2150115966797,252.05517578125
2022-05-16,142.67591857910156,252.42196655273438
2022-05-17,146.3031005859375,257.55731201171875
2022-05-18,138.04879760742188,245.830810546875
2022-05-19,134.64706420898438,244.9213104248047
2022-05-20,134.8823699951172,244.3601837158203
2022-05-23,140.29368591308594,252.18751525878906
2022-05-24,137.5978546142578,251.19093322753906
2022-05-25,137.75469970703125,253.9967803955078
2022-05-26,140.95054626464844,257.2670593261719
2022-05-27,146.6952362060547,264.36871337890625
2022-05-31,145.9109344482422,263.043212890625
2022-06-01,145.78350830078125,263.57537841796875
2022-06-02,148.23431396484375,265.6651611328125
2022-06-03,142.51907348632812,261.2533264160156
2022-06-06,143.26409912109375,260.0245666503906
2022-06-07,145.78350830078125,263.6528015136719
2022-06-08,145.04827880859375,261.630615234375
2022-06-09,139.8330078125,256.19317626953125
2022-06-10,134.431396484375,244.7762451171875
2022-06-13,129.2847137451172,234.3946075439453
2022-06-14,130.1474151611328,236.5521697998047
2022-06-15,132.76483154296875,243.58615112304688
2022-06-16,127.50053405761719,237.01663208007812
2022-06-17,128.9709930419922,239.60960388183594
2022-06-21,133.19618225097656,245.5018768310547
2022-06-22,132.68641662597656,244.91168212890625
2022-06-23,135.5489959716797,250.45559692382812
2022-06-24,138.8722686767578,259.0087585449219
2022-06-27,138.8722686767578,256.28985595703125
2022-06-28,134.7353515625,248.15289306640625
2022-06-29,136.49009704589844,251.8101806640625
2022-06-30,134.02947998046875,248.4915313720703
2022-07-01,136.19598388671875,251.15228271484375
2022-07-05,138.77423095703125,254.3160858154297
2022-07-06,140.1074676513672,257.5670471191406
2022-07-07,143.46995544433594,259.68585205078125
2022-07-08,144.1464080810547,258.9698791503906
2022-07-11,142.01907348632812,255.9221954345703
2022-07-12,142.9896240234375,245.4341583251953
2022-07-13,142.6268768310547,244.51499938964844
2022-07-14,145.54824829101562,245.830810546875
2022-07-15,147.2147674560547,248.38510131835938
2022-07-18,144.17578125,245.9953155517578
2022-07-19,148.02847290039062,251.1038360595703
2022-07-20,150.02828979492188,253.75489807128906
2022-07-21,152.2928466796875,256.2414855957031
2022-07-22,151.0576629638672,251.9069061279297
2022-07-25,149.94007873535156,250.42660522460938
2022-07-26,148.61666870117188,243.72158813476562
2022-07-27,153.7044677734375,260.0148620605469
2022-07-28,154.25350952148438,267.4358825683594
2022-07-29,159.31195068359375,271.6252746582031
2022-08-01,158.3316192626953,268.98394775390625
2022-08-02,156.8611602783203,265.8974914550781
2022-08-03,162.8607177734375,273.29913330078125
2022-08-04,162.54698181152344,274.4407958984375
2022-08-05,162.3212432861328,273.7248840332031
2022-08-08,161.85000610351562,271.2189025878906
2022-08-09,161.89910888671875,273.13458251953125
2022-08-10,166.1399688720703,279.7719421386719
2022-08-11,165.40371704101562,277.7013244628906
2022-08-12,168.9475555419922,282.4326477050781
2022-08-15,170.0176239013672,283.9419860839844
2022-08-16,169.8605499267578,283.2065734863281
2022-08-17,171.3527069091797,282.4600830078125
2022-08-18,170.9600067138672,281.34503173828125
2022-08-19,168.37820434570312,277.4472961425781
2022-08-22,164.5005645751953,269.3027648925781
2022-08-23,164.16676330566406,268.0325927734375
2022-08-24,164.46127319335938,267.4023742675781
2022-08-25,166.91549682617188,270.3692932128906
2022-08-26,160.62290954589844,259.9365234375
2022-08-29,158.42393493652344,257.1634826660156
2022-08-30,155.9991912841797,254.97225952148438
2022-08-31,154.34014892578125,253.5178680419922
2022-09-01,155.06655883789062,252.48045349121094
2022-09-02,152.9559326171875,248.27239990234375
2022-09-06,151.69943237304688,245.54788208007812
2022-09-07,153.10321044921875,250.24066162109375
2022-09-08,151.6306915283203,250.65760803222656
2022-09-09,154.4873809814453,256.41693115234375
2022-09-12,160.43638610839844,258.5403137207031
2022-09-13,151.02206420898438,244.32618713378906
2022-09-14,152.4651336669922,244.54920959472656
2022-09-15,149.57894897460938,237.917236328125
2022-09-16,147.9395751953125,237.29669189453125
2022-09-19,151.6503143310547,237.0833740234375
2022-09-20,154.02597045898438,235.0763397216797
2022-09-21,150.90423583984375,231.68276977539062
2022-09-22,149.94223022460938,233.65101623535156
2022-09-23,147.67449951171875,230.68411254882812
2022-09-26,148.00830078125,230.2283935546875
2022-09-27,148.9801483154297,229.2200469970703
2022-09-28,147.09535217285156,233.73831176757812
2022-09-29,139.87013244628906,230.27687072753906
2022-09-30,135.66854858398438,225.8167724609375
2022-10-03,139.84068298339844,233.41831970214844
2022-10-04,143.423828125,241.31082153320312
2022-10-05,143.71835327148438,241.62107849121094
2022-10-06,142.76609802246094,239.2843780517578
2022-10-07,137.52391052246094,227.11602783203125
2022-10-10,137.84786987304688,222.27780151367188
2022-10-11,136.43423461914062,218.55459594726562
2022-10-12,135.8059844970703,218.88424682617188
2022-10-13,140.37081909179688,227.11602783203125
2022-10-14,135.84523010253906,221.60877990722656
2022-10-17,139.80142211914062,230.30596923828125
2022-10-18,141.1168975830078,231.24647521972656
2022-10-19,141.224853515625,229.2878875732422
2022-10-20,140.7634735107422,228.9679412841797
2022-10-21,144.57241821289062,234.75636291503906
2022-10-24,146.71246337890625,239.73036193847656
2022-10-25,149.549560546875,243.03663635253906
2022-10-26,146.6143035888672,224.2847900390625
2022-10-27,142.1476287841797,219.85382080078125
2022-10-28,152.8872528076172,228.6964569091797
2022-10-31,150.5312042236328,225.07022094726562
2022-11-01,147.8905029296875,221.23062133789062
2022-11-02,142.3734130859375,213.40606689453125
2022-11-03,136.33609008789062,207.73399353027344
2022-11-04,136.0706024169922,214.65684509277344
2022-11-07,136.6015625,220.93975830078125
2022-11-08,137.17190551757812,221.90931701660156
2022-11-09,132.61915588378906,217.6819610595703
2022-11-10,144.41888427734375,235.59019470214844
2022-11-11,147.20162963867188,239.59458923339844
2022-11-14,145.8053741455078,234.20370483398438
2022-11-15,147.5359649658203,234.61094665527344
2022-11-16,146.30685424804688,235.0387420654297
2022-11-17,148.2046356201172,234.99012756347656
2022-11-18,148.76513671875,234.54286193847656
2022-11-21,145.53982543945312,235.3498992919922
2022-11-22,147.6736297607422,238.2473907470703
2022-11-23,148.54881286621094,240.726806640625
2022-11-25,145.63819885253906,240.63931274414062
2022-11-28,141.81312561035156,235.0679168701172
2022-11-29,138.81402587890625,233.677490234375
2022-11-30,145.55955505371094,248.07752990722656
2022-12-01,145.8348388671875,247.63999938964844
2022-12-02,145.34320068359375,247.9608612060547
2022-12-05,144.1829071044922,243.2742919921875
2022-12-06,140.52500915527344,238.3349151611328
2022-12-07,138.58786010742188,237.6056671142578
2022-12-08,140.2693328857422,240.55177307128906
2022-12-09,139.78750610351562,238.6265869140625
2022-12-12,142.07864379882812,245.5203399658203
2022-12-13,143.04226684570312,249.8083038330078
2022-12-14,140.81997680664062,250.09996032714844
2022-12-15,134.22193908691406,242.1172332763672
2022-12-16,132.26513671875,237.91683959960938
2022-12-19,130.16087341308594,233.79417419433594
2022-12-20,130.09207153320312,235.10678100585938
2022-12-21,133.18948364257812,237.6640167236328
2022-12-22,130.02322387695312,231.5967254638672
2022-12-23,129.659423828125,232.1217803955078
2022-12-27,127.85993957519531,230.40078735351562
2022-12-28,123.93653869628906,228.0380401611328
2022-12-29,127.44694519042969,234.3386688232422
2022-12-30,127.7615737915039,233.18162536621094
2023-01-03,122.98271179199219,232.9482421875
2023-01-04,124.25118255615234,222.75836181640625
2023-01-05,122.93353271484375,216.1562957763672
2023-01-06,127.45677947998047,218.70375061035156
2023-01-09,127.97794342041016,220.83316040039062
2023-01-10,128.54824829101562,222.51527404785156
2023-01-11,131.26220703125,229.24371337890625
2023-01-12,131.18353271484375,231.90785217285156
2023-01-13,132.51101684570312,232.60794067382812
2023-01-17,133.67129516601562,233.69696044921875
2023-01-18,132.9534912109375,229.2826385498047
2023-01-19,133.01246643066406,225.510009765625
2023-01-20,135.56907653808594,233.57058715820312
2023-01-23,138.75503540039062,235.86520385742188
2023-01-24,140.1513214111328,235.3401641845703
2023-01-25,139.4925079345703,233.9497833251953
2023-01-26,141.55747985839844,241.13519287109375
2023-01-27,143.49459838867188,241.290771484375
2023-01-30,140.61349487304688,235.99163818359375
2023-01-31,141.88194274902344,240.95046997070312
2023-02-01,143.00294494628906,245.75367736816406
2023-02-02,148.30300903320312,257.27569580078125
2023-02-03,151.9215545654297,251.1986846923828
2023-02-06,149.1977996826172,249.66241455078125
2023-02-07,152.0690460205078,260.1537170410156
2023-02-08,149.38462829589844,259.3467102050781
2023-02-09,148.35214233398438,256.3227844238281
2023-02-10,148.71653747558594,255.81723022460938
2023-02-13,151.5133819580078,263.8097229003906
2023-02-14,150.87326049804688,264.6361083984375
2023-02-15,152.9709014892578,262.5209045410156
2023-02-16,151.37551879882812,255.53195190429688
2023-02-17,150.23313903808594,251.54519653320312
2023-02-21,146.22494506835938,246.2913055419922
2023-02-22,146.64842224121094,245.16055297851562
2023-02-23,147.1309814453125,248.33822631835938
2023-02-24,144.48179626464844,242.9283447265625
2023-02-27,145.67344665527344,243.8446502685547
2023-02-28,145.1712188720703,243.12332153320312
2023-03-01,143.1030731201172,240.0528106689453
2023-03-02,143.69398498535156,244.77064514160156
2023-03-03,148.7362060546875,248.84510803222656
2023-03-06,151.49371337890625,250.38523864746094
2023-03-07,149.2975616455078,247.73388671875
2023-03-08,150.5482635498047,247.29525756835938
2023-03-09,148.30291748046875,245.95013427734375
2023-03-10,146.24461364746094,242.3142547607422
2023-03-13,148.1847381591797,247.5097198486328
2023-03-14,150.2725372314453,254.20628356933594
2023-03-15,150.66647338867188,258.7388916015625
2023-03-16,153.48300170898438,269.227294921875
2023-03-17,152.64593505859375,272.37567138671875
2023-03-20,155.0094757080078,265.35748291015625
2023-03-21,156.86093139648438,266.8683166503906
2023-03-22,155.43295288085938,265.4159851074219
2023-03-23,156.51622009277344,270.6503601074219
2023-03-24,157.81622314453125,273.48687744140625
2023-03-27,155.87611389160156,269.4026794433594
2023-03-28,155.25567626953125,268.2817687988281
2023-03-29,158.32827758789062,273.428466796875
2023-03-30,159.8941192626953,276.8790588378906
2023-03-31,162.3955535888672,281.0216979980469
2023-04-03,163.64630126953125,279.9787902832031
2023-04-04,163.11447143554688,279.9300537109375
2023-04-05,161.27285766601562,277.1617126464844
2023-04-06,162.15924072265625,284.2385559082031
2023-04-10,159.56919860839844,282.0842590332031
2023-04-11,158.3578338623047,275.6898498535156
2023-04-12,157.66848754882812,276.33319091796875
2023-04-13,163.0455322265625,282.52288818359375
2023-04-14,162.70086669921875,278.91632080078125
2023-04-17,162.72055053710938,281.5091552734375
2023-04-18,163.9417266845703,281.0899658203125
2023-04-19,165.08409118652344,281.1679992675781
2023-04-20,164.1190185546875,278.8870849609375
2023-04-21,162.51373291015625,278.5459289550781
2023-04-24,162.81903076171875,274.6565856933594
2023-04-25,161.28273010253906,268.4669494628906
2023-04-26,161.27285766601562,287.9132995605469
2023-04-27,165.8522491455078,297.1343994140625
2023-04-28,167.10293579101562,299.5031433105469
2023-05-01,167.01434326171875,297.8460388183594
2023-05-02,165.98028564453125,297.6998596191406
2023-05-03,164.90682983398438,296.7152404785156
2023-05-04,163.2720489501953,297.6998596191406
2023-05-05,170.93389892578125,302.8074951171875
2023-05-08,170.8649444580078,300.8580322265625
2023-05-09,169.1612548828125,299.2496643066406
2023-05-10,170.924072265625,304.4256591796875
2023-05-11,171.1111602783203,302.2811279296875
2023-05-12,170.1841583251953,301.1699523925781
2023-05-15,169.6910858154297,301.6475830078125
2023-05-16,169.6910858154297,303.8699951171875
2023-05-17,170.30250549316406,306.7420349121094
2023-05-18,172.62985229492188,311.1575927734375
2023-05-19,172.73837280273438,310.98175048828125
2023-05-22,171.79159545898438,313.7560729980469
2023-05-23,169.1881103515625,307.9729919433594
2023-05-24,169.46426391601562,306.5955505371094
2023-05-25,170.59835815429688,318.3865661621094
2023-05-26,173.00460815429688,325.1954040527344
2023-05-30,174.84873962402344,323.5541687011719
2023-05-31,174.7994384765625,320.7994689941406
2023-06-01,177.6001739501953,324.892578125
2023-06-02,178.4482879638672,327.6474304199219
2023-06-05,177.0972442626953,328.1749572753906
2023-06-06,176.7323455810547,325.9671630859375
2023-06-07,175.36155700683594,315.90521240234375
2023-06-08,178.07354736328125,317.7417907714844
2023-06-09,178.45819091796875,319.2364501953125
2023-06-12,181.24900817871094,324.1794738769531
2023-06-13,180.7756805419922,326.5630798339844
2023-06-14,181.4068145751953,329.5426025390625
2023-06-15,183.4383544921875,340.0538635253906
2023-06-16,182.36337280273438,334.417236328125
2023-06-20,182.45216369628906,330.23614501953125
2023-06-21,181.41668701171875,325.84991455078125
2023-06-22,184.41464233398438,331.8577880859375
2023-06-23,184.09906005859375,327.27618408203125
2023-06-26,182.70855712890625,321.00457763671875
