Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Daily_Return,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,,,
2025-07-07,209.120361328125,215.37554414763466,207.97491173225177,211.8395692407974,50229000,201.62411193847657,202.95620025634764,64.97797537165604,-0.016857928064098027,1
2025-07-08,209.1801300048828,210.59451698338924,207.6262968509882,209.26978591644843,42848900,201.92740859985352,202.9943069458008,65.11579506511112,0.0002858099344236198,1
2025-07-09,210.30567932128906,210.49493096772343,206.40117103180637,208.7020406311003,48749400,202.40999526977538,203.0368197631836,67.86371745074388,0.005380765928293396,1
2025-07-10,211.57064819335938,212.6364120977978,209.2000480941239,209.678147079363,44443600,202.89507064819335,203.08752258300783,70.84219093052215,0.00601490590341025,0
2025-07-11,210.32557678222656,211.29174491390697,209.0307108656814,209.73791189344956,39765800,203.51162414550782,203.09203643798827,64.09554000190624,-0.0058848967083322545,0
2025-07-14,207.7956085205078,210.07656782568804,206.719874444485,209.10042946873696,38840100,203.98076171875,203.02028625488282,52.39612504654606,-0.012028818845642886,1
2025-07-15,208.28369140625,211.05270487364396,208.09443976951917,208.39325734338402,42296300,204.61126022338868,202.9419842529297,54.25481987044826,0.0023488604461725515,1
2025-07-16,209.32955932617188,211.5606982702429,207.81556132948495,209.46900551017632,47490500,205.19594192504883,203.04316192626953,58.28216386839749,0.0050213625121611205,0
2025-07-17,209.1901092529297,210.9630743588066,208.7618004967043,209.7379389650813,48068100,205.91210174560547,203.27007110595704,57.503309895537605,-0.000666174780528217,1
2025-07-18,210.3455047607422,210.95309492429405,208.87135730762196,210.0367321724359,48974600,206.63921661376952,203.5276483154297,62.31746735272915,0.005523184207602894,1
2025-07-21,211.640380859375,214.92734394651046,210.79374875413163,211.26189276464606,51377400,207.21094818115233,203.8560855102539,67.13228790352304,0.00615594851958301,1
2025-07-22,213.5527801513672,214.1006098348481,211.39135685335447,212.29776458434165,46404100,207.85339965820313,204.19810119628906,73.00925389762318,0.009036079429770583,0
2025-07-23,213.30377197265625,214.29982043425818,211.57065737650467,214.15041924441525,46989300,208.54316253662108,204.51444610595703,71.09926107555867,-0.0011660263965397322,0
2025-07-24,212.91531372070312,214.83769515517375,212.68622683006964,213.05475989741393,46022600,209.15075073242187,204.57361114501953,67.90174028851189,-0.0018211504107996657,1
