Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-09-25,310.8569641113281,310.98423287149456,308.3704133654572,309.9269461526473,17836000
2023-09-26,305.5707092285156,309.23198754848005,303.4953016985724,308.4977720645104,26297600
2023-09-27,306.20697021484375,307.6851701509051,303.1722074325514,305.7272625333357,19410100
2023-09-28,307.0390625,308.8403337798226,302.93724397750015,304.4448112128742,19683600
2023-09-29,309.10467529296875,312.746384776468,308.35089159051364,311.06258297495117,24147300
2023-10-02,315.02728271484375,315.1154148364271,308.5466141242197,309.62346914878606,20570000
2023-10-03,306.7944030761719,314.6260349402652,304.6602606879749,314.07779322449835,21033500
2023-10-04,312.24713134765625,313.3044183025866,307.391528310135,307.4208957324774,20720100
2023-10-05,312.63873291015625,313.2457094811614,308.27260646582175,312.37442608711734,16965600
2023-10-06,320.3724670410156,322.26184092251725,309.6431106472469,309.8878491254301,25673600
2023-10-09,322.8786315917969,323.3485104150923,316.37836236668136,317.91532739359235,19891200
2023-10-10,321.4786682128906,324.13162477364205,320.7738202479149,323.9945568948938,20557100
2023-10-11,325.423828125,325.81540366125716,322.21286092721374,324.23927254305164,20063200
2023-10-12,324.19036865234375,326.6083859172805,321.8017188086289,323.6127894514465,19313100
2023-10-13,320.83258056640625,326.80417560812504,319.49138859402285,325.38471034218486,21072400
2023-10-16,325.6391906738281,329.06552880865223,323.6421166530187,324.08262791660326,22158000
2023-10-17,325.0713806152344,326.44190989346447,320.5192516418675,322.6533636519186,18338500
2023-10-18,323.1623840332031,328.5270609392468,321.3904802675339,325.49229856493486,23153600
2023-10-19,324.3469543457031,329.7899346500429,323.94557973464435,325.15947278983907,25052100
2023-10-20,319.7947998046875,324.93430643205664,318.6004751648395,324.73850375327726,25027700
2023-10-23,322.3891296386719,325.7273662724693,317.56289372065373,318.62015086662296,24374700
2023-10-24,323.5736083984375,324.8560355263617,320.70528084515973,324.3273920928105,31153600
2023-10-25,333.5002746582031,338.913889121063,330.51444701213205,337.7587006877497,55053800
2023-10-26,320.98919677734375,334.4400133073603,320.0591786565096,333.37295718073534,37828500
2023-10-27,322.8686828613281,329.6332557895816,321.48835470698214,323.47562931033997,29856500
2023-10-30,330.2109069824219,332.3058824741977,324.84622935304117,326.39299310170355,22828100
2023-10-31,330.9940490722656,331.8653322788638,327.64604386616816,331.7184951865434,20265300
2023-11-01,338.78656005859375,340.1081537078223,332.5016633074158,332.6387311841403,28158800
2023-11-02,340.9892272949219,341.48847346531505,337.5139230484177,339.93194035995595,24348100
2023-11-03,345.3749084472656,346.93147136857294,340.02002965992455,342.2716414539088,23637700
2023-11-06,349.0263977050781,350.01515060483416,345.9133317859224,346.0112331411466,23828300
2023-11-07,352.9422607421875,354.83163466533523,350.10330030774577,351.83603801636735,25833900
2023-11-08,355.5560607910156,356.2119431597548,352.9618091115113,354.0680317747925,26767800
2023-11-09,353.09881591796875,357.11253210252806,352.77574446362354,354.6749170503375,24847300
2023-11-10,361.8898620605469,362.3108050217642,353.47085345970584,353.8819973228906,28042100
2023-11-13,358.9627990722656,360.71513487046275,358.1992162461448,360.4703964021509,19986500
2023-11-14,362.4772033691406,364.1218684157094,359.6186750774512,363.2016494775537,27683900
2023-11-15,362.6243896484375,366.0184363495822,360.1131537221127,364.20368992773217,26860100
2023-11-16,369.00048828125,369.17705042836303,363.12463294088235,363.88976551430744,27182300
2023-11-17,362.80096435546875,367.23480603716206,360.0052770614011,366.4892814424939,40157000
2023-11-20,370.24627685546875,371.6490149349355,363.9290160684621,364.1448242296059,52465100
2023-11-21,365.9595947265625,369.0495522871196,364.0467481750121,368.5100468166504,28423100
2023-11-22,370.6484680175781,372.5514954656195,367.8233538705503,370.7956031427492,23345300
2023-11-24,370.23651123046875,370.76622769070315,367.9901781565456,370.1384111547305,10176600
2023-11-27,371.39404296875,373.3853818585876,369.03000159577226,369.5989341814813,22179200
2023-11-28,375.40606689453125,375.7003371685908,370.95258715281994,371.1389683050371,20453100
